book_name,chapter_id,date,sentence,version,neutral,positive,negative,immigration
PasWide,1,May 16,It was the first time it had been just the two of us since England.,original,1,1,0,1
PasWide,1,May 16,It was the first time the two of us had been alone together since leaving England.,aug_1,1,1,0,1
PasWide,1,May 16,"Since England, this was the first moment it had been just us two.",aug_2,1,1,0,1
PasWide,1,September 7,"Then we sang “The Maple Leaf Forever,” which is different.",original,1,1,0,1
PasWide,1,September 7,"After that we sang ""The Maple Leaf Forever,"" which felt quite different.",aug_1,1,1,0,1
PasWide,1,September 7,"We finished by singing ""The Maple Leaf Forever"" — it was a different sort of song.",aug_2,1,1,0,1
PasWide,1,December 20,Christmas Comes from Home The Christmas parcel from Auntie Lou has arrived!,original,0,1,1,1
PasWide,1,December 20,The Christmas parcel from Auntie Lou has finally arrived!,aug_1,0,1,1,1
PasWide,1,December 20,Auntie Lou's Christmas parcel has come — it is here at last!,aug_2,0,1,1,1
PasWide,1,April 18,Then Mother said that I am a big Canadian Ivy.,original,1,1,0,1
PasWide,1,April 18,Then Mother told me I am a proper big Canadian Ivy now.,aug_1,1,1,0,1
PasWide,1,April 18,Mother said it herself — I am a big Canadian Ivy.,aug_2,1,1,0,1
PasWide,1,May 16,"Then we went back to the coach and Dad saw that nobody was using the stove yet, so he said he would start breakfast for us, and that I should go back to bed and coast until it was ready.",original,0,1,0,1
PasWide,1,May 16,"When we got back to the coach, Dad noticed the stove wasn't being used, so he offered to make breakfast and sent me back to bed to rest until it was done.",aug_1,0,1,0,1
PasWide,1,May 16,"Back at the coach, Dad saw the stove sitting idle and decided he'd start breakfast himself, telling me to go back to bed and take it easy until the food was ready.",aug_2,0,1,0,1
PasWide,1,May 13,Today Dad got out his Canada West booklet and read us bits.,original,0,1,0,1
PasWide,1,May 13,Dad pulled out his Canada West booklet today and read sections of it aloud to us.,aug_1,0,1,0,1
PasWide,1,May 13,Today Dad took out his Canada West booklet and read us some of the bits inside.,aug_2,0,1,0,1
PasWide,1,May 11,She doesn’t understand how big Canada is.,original,1,1,1,1
PasWide,1,May 11,She has no idea just how enormous Canada really is.,aug_1,1,1,1,1
PasWide,1,May 11,The sheer size of Canada is something she simply cannot grasp.,aug_2,1,1,1,1
PasWide,1,May 23,Elizabeth asked if I had been to Buckingham Palace to have tea with the king.,original,0,1,1,1
PasWide,1,May 23,Elizabeth wanted to know if I had ever visited Buckingham Palace for tea with the king.,aug_1,0,1,1,1
PasWide,1,May 23,Had I been to Buckingham Palace to take tea with the king? That was what Elizabeth asked.,aug_2,0,1,1,1
PasWide,1,May 9,"Mother says it is all very well to laugh at Canadian place names, but remember, we come from a country that has places like “Wigglesworth.”",original,0,1,0,1
PasWide,1,May 9,"Mother says it is all very well to laugh at Canadian place names, but we should remember we come from a country with places called things like ""Wigglesworth.""",aug_1,0,1,0,1
PasWide,1,May 9,"Laughing at Canadian place names is fine, Mother says, but let's not forget that back home we have towns with names like ""Wigglesworth.""",aug_2,0,1,0,1
PasWide,1,May 3,"I had a dream about riding a horse, except it was riding across the ocean.",original,0,1,0,1
PasWide,1,May 3,"I dreamed I was riding a horse, only the horse was galloping across the ocean.",aug_1,0,1,0,1
PasWide,1,May 3,"In my dream I rode a horse — across the ocean, of all places.",aug_2,0,1,0,1
PasWide,1,May 19,He gave us huge hugs and pretended not to know me because I was so grown-up and Mother cried a little bit.,original,0,1,1,1
PasWide,1,May 19,"He wrapped us in enormous hugs and pretended not to recognise me, saying how grown-up I had become, and Mother shed a few tears.",aug_1,0,1,1,1
PasWide,1,May 19,"He gave great big hugs all around and joked that he didn't know me because I'd grown so much, and Mother cried just a little.",aug_2,0,1,1,1
PasWide,1,May 11,Land ahoy!,original,0,1,0,1
PasWide,1,May 11,Land — I can see land!,aug_1,0,1,0,1
PasWide,1,May 11,There it is — land ahoy!,aug_2,0,1,0,1
PasWide,1,May 15,I wish I COULD hang upside down in the baggage car.,original,0,1,0,1
PasWide,1,May 15,Hanging upside down in the baggage car is exactly what I wish I could do.,aug_1,0,1,0,1
PasWide,1,May 15,How I wish it were actually possible to hang upside down in the baggage car.,aug_2,0,1,0,1
PasWide,1,August 17,I used caragana leaves and string.,original,1,1,0,1
PasWide,1,August 17,I made do with caragana leaves and a bit of string.,aug_1,1,1,0,1
PasWide,1,August 17,Caragana leaves and string were what I used.,aug_2,1,1,0,1
PasWide,1,May 18,This line is called the Canadian Pacific.,original,1,1,0,1
PasWide,1,May 18,The name of this railway line is the Canadian Pacific.,aug_1,1,1,0,1
PasWide,1,May 18,Canadian Pacific — that is what they call this line.,aug_2,1,1,0,1
PasWide,1,May 13,This is the booklet that tells us everything we need to know.,original,0,1,0,1
PasWide,1,May 13,This booklet has everything in it that we need to know.,aug_1,0,1,0,1
PasWide,1,May 13,Everything we could need to know is supposed to be in this booklet.,aug_2,0,1,0,1
PasWide,1,September 8,So then I said that I had seen it in London before we came here.,original,0,1,0,1
PasWide,1,September 8,I told them I had already seen it in London before we left for here.,aug_1,0,1,0,1
PasWide,1,September 8,"So I mentioned that I had seen it in London, back before we came over.",aug_2,0,1,0,1
PasWide,1,March 13,"Gerhard is playing with a band in Calgary now, in a big hotel.",original,0,1,0,1
PasWide,1,March 13,Gerhard is now playing with a band at a big hotel in Calgary.,aug_1,0,1,0,1
PasWide,1,March 13,These days Gerhard plays in a band up at one of the big Calgary hotels.,aug_2,0,1,0,1
PasWide,1,May 9,“Moose Jaw” and “Medicine Hat” made them laugh so much they got the hiccups.,original,0,1,0,1
PasWide,1,May 9,"The names ""Moose Jaw"" and ""Medicine Hat"" sent them into such fits of laughter that they got the hiccups.",aug_1,0,1,0,1
PasWide,1,May 9,"""Moose Jaw"" and ""Medicine Hat"" — they laughed so hard at those that the hiccups set in.",aug_2,0,1,0,1
PasWide,1,May 21,"Mr. Burgess has found us a house of our own to live in, because we certainly don’t all fit in this one.",original,0,1,1,1
PasWide,1,May 21,"Mr. Burgess has managed to find us a place of our own, since we clearly cannot all squeeze into this house.",aug_1,0,1,1,1
PasWide,1,May 21,"Since there is no way we all fit in this house, Mr. Burgess went and found us our own place to live.",aug_2,0,1,1,1
PasWide,1,May 13,"He told us that luggage is called baggage, that a three-strand barbed wire fence costs $150 a mile and that there is absolutely no malaria in Canada.",original,1,1,0,1
PasWide,1,May 13,"He explained that what we call luggage they call baggage, that a three-strand barbed wire fence runs $150 a mile, and that Canada has absolutely no malaria.",aug_1,1,1,0,1
PasWide,1,May 13,"We learned that luggage is baggage here, a three-strand barbed wire fence costs $150 per mile, and there is no malaria whatsoever in Canada.",aug_2,1,1,0,1
PasWide,1,December 20,The Christmas package from Auntie Lou has made it here at last!,aug_1,0,1,1,1
PasWide,1,December 20,Auntie Lou's Christmas parcel has arrived — what wonderful news!,aug_2,0,1,1,1
PasWide,1,May 11,How big Canada truly is — she just doesn't understand it.,aug_1,1,1,1,1
PasWide,1,May 11,Canada's size is something she really cannot get her head around.,aug_2,1,1,1,1
